"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Slew Rate Control,Drive Strength
A2,PC8,,Available,In,,,,,,,,
A3,PC20,,Available,In,,,,,,,,
A4,PC24,,Available,In,,,,,,,,
A5,PC28,,Available,In,,,,,,,,
A6,PC2,,Available,In,,,,,,,,
A7,PC4,,Available,In,,,,,,,,
A8,PC6,,Available,In,,,,,,,,
A9,PC10,,Available,In,,,,,,,,
A10,PC12,,Available,In,,,,,,,,
A11,PB17,,Available,In,,,,,,,,
A12,PB25,,Available,In,,,,,,,,
B3,PC18,,Available,In,,,,,,,,
B4,PC22,,FLEXCOM3_IO0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
B5,PC26,,Available,In,,,,,,,,
B6,PC3,,Available,In,,,,,,,,
B7,PC5,,Available,In,,,,,,,,
B8,PC7,,Available,In,,,,,,,,
B9,PC11,,Available,In,,,,,,,,
B10,PC13,,Available,In,,,,,,,,
B11,PB19,,Available,In,,,,,,,,
B12,PB23,,Available,In,,,,,,,,
C4,PC14,,Available,In,,,,,,,,
C5,PC16,,Available,In,,,,,,,,
C6,PC23,,FLEXCOM3_IO1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
C8,PC30,,Available,In,,,,,,,,
C9,PB15,,Available,In,,,,,,,,
C11,PB21,,Available,In,,,,,,,,
C12,PB24,,Available,In,,,,,,,,
D3,PC0,,Available,In,,,,,,,,
D4,PC15,,Available,In,,,,,,,,
D6,PC9,,Available,In,,,,,,,,
D8,PC29,,Available,In,,,,,,,,
D9,PB16,,Available,In,,,,,,,,
D11,PB20,,Available,In,,,,,,,,
D12,PB26,,Available,In,,,,,,,,
E3,PC21,,Available,In,,,,,,,,
E4,PC19,,Available,In,,,,,,,,
E6,PC25,GPIO_PC25,GPIO,Out,Low,No,Disabled,No,No,Disabled,No,Low
E8,PC27,,Available,In,,,,,,,,
E9,PB18,,Available,In,,,,,,,,
E11,PB22,,Available,In,,,,,,,,
F3,PC1,,Available,In,,,,,,,,
F4,PC17,,Available,In,,,,,,,,
F9,PC31,,Available,In,,,,,,,,
H3,PA15,,Available,In,,,,,,,,
J3,PA21,,Available,In,,,,,,,,
J4,PA18,,Available,In,,,,,,,,
L1,PA30,,Available,In,,,,,,,,
L2,PA27,,Available,In,,,,,,,,
L3,PA26,,Available,In,,,,,,,,
L4,PA29,,Available,In,,,,,,,,
L9,PB11,,GMAC_GRX0,n/a,n/a,No,Disabled,No,Yes,Disabled,No,Low
M1,PA25,,Available,In,,,,,,,,
M2,PA31,,Available,In,,,,,,,,
M3,PA24,,Available,In,,,,,,,,
M4,PA28,,Available,In,,,,,,,,
M6,PA20,,Available,In,,,,,,,,
M8,PA11,,Available,In,,,,,,,,
M9,PB7,,GMAC_GTXEN,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
M11,PD11,,Available,In,,,,,,,,
N3,PA5,,Available,In,,,,,,,,
N5,PA13,,Available,In,,,,,,,,
N6,PA16,,Available,In,,,,,,,,
N8,PA1,,Available,In,,,,,,,,
N9,PB5,,GMAC_GTX3,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
N11,PB1,,GMAC_GRX3,n/a,n/a,No,Disabled,Yes,No,Disabled,No,Low
N12,PD9,,Available,In,,,,,,,,
N14,PD5,,Available,In,,,,,,,,
N15,PD4,,Available,In,,,,,,,,
N16,PD1,,Available,In,,,,,,,,
P4,PA9,,Available,In,,,,,,,,
P5,PA7,,Available,In,,,,,,,,
P6,PA3,,Available,In,,,,,,,,
P8,PB9,,GMAC_GMDIO,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P9,PB13,,GMAC_GTX0,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
P11,PD13,,Available,In,,,,,,,,
P12,PD7,,Available,In,,,,,,,,
P13,PD8,,Available,In,,,,,,,,
P15,PD2,,Available,In,,,,,,,,
P16,PD3,,Available,In,,,,,,,,
R4,PA23,,Available,In,,,,,,,,
R5,PA17,,Available,In,,,,,,,,
R6,PA12,,Available,In,,,,,,,,
R7,PA10,,Available,In,,,,,,,,
R8,PA4,,Available,In,,,,,,,,
R9,PB14,,GMAC_GTX1,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
R10,PB10,,GMAC_GMDC,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
R11,PB6,,GMAC_GTXCK,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
R12,PB2,,GMAC_G125CK,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
R13,PB0,,GMAC_GRX2,n/a,n/a,No,Disabled,Yes,No,Disabled,No,Low
R14,PD10,,Available,In,,,,,,,,
R15,PD6,,Available,In,,,,,,,,
R16,PD0,,Available,In,,,,,,,,
T3,PA22,,Available,In,,,,,,,,
T4,PA19,,Available,In,,,,,,,,
T5,PA14,,Available,In,,,,,,,,
T6,PA8,,Available,In,,,,,,,,
T7,PA6,,Available,In,,,,,,,,
T8,PA2,,Available,In,,,,,,,,
T9,PA0,,Available,In,,,,,,,,
T10,PB3,,GMAC_GRXCTL,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
T11,PB12,,GMAC_GRX1,n/a,n/a,No,Disabled,Yes,No,Disabled,No,Low
T12,PB8,,GMAC_GRXCK,n/a,n/a,No,Disabled,Yes,No,Disabled,No,Low
T13,PB4,,GMAC_GTX2,n/a,n/a,No,Disabled,No,No,Disabled,No,Low
T14,PD12,,Available,In,,,,,,,,
T15,PD14,,Available,In,,,,,,,,
